Samples,Failure Probability,Std Dev,Reliability Index
100,0.0,,inf
300,0.005343366139341038,0.0,2.552778863051941
1000,0.0,,inf
3000,0.0012490499976609373,0.0186852158220848,3.023571488704374
10000,0.0014974648648698769,0.04431960276264676,2.9682578537485544
30000,0.00038283431928713035,0.00942458613996339,3.3649163657919914
100000,0.0007010713804976382,0.011452902980279388,3.19420959747287
300000,0.0019046745483989691,0.027052226100687745,2.8935324637986777
1000000,0.001397658768781338,0.007518730100178563,2.989393634680182
